subhalo_id,subhalo_flag,logmass,logmass0,logmass1,logmass4,SubhaloCM_x,SubhaloCM_y,SubhaloCM_z,SubhaloVel_x,SubhaloVel_y,SubhaloVel_z,SubhaloHalfmassRad,MassInMaxRad,SubhaloVmax,SubhaloVmaxRad
8,1,11.647152,10.393283,11.583234,10.555261,8072.731934,24390.03125,20883.591797,-913.311584,435.267853,270.353333,30.863125,10.063348,191.930206,0.9512459999999999
11,1,11.425411,9.980780000000001,11.343677,10.557160000000001,7052.748535,23818.259766,20350.101562,-538.551453,-294.42355299999997,-505.909088,16.972178,10.899754,164.30688500000002,8.905804
17,1,11.347348,9.895883999999999,11.314726,9.914086,6441.108397999999,24251.0625,20290.275391,152.550003,323.026154,813.4376219999999,27.491996999999998,10.279755,129.189194,3.4557550000000004
19,1,11.280244999999999,10.199933,11.228812,9.73479,7591.960937999999,23699.552734,21383.580078,-849.522217,518.035889,212.959473,19.645016000000002,10.953233,121.560822,18.402559
29,1,11.070246000000001,9.642655,11.031786,9.743364999999999,8017.576172,24417.417969,21511.207031,190.02117900000002,-407.68737799999997,-1069.7929689999999,15.483538000000001,9.829009,131.933731,1.1736950000000002
37,1,10.944833000000001,9.696527,10.899481,9.574122000000001,6931.454102,24532.080078,20779.855469,461.153168,54.69335600000001,1093.195068,15.469870000000002,10.462714,95.565742,9.623796
44,1,10.846364,9.731142,10.786874000000001,9.555515,7622.302245999999,24506.121094,21489.603516,-799.403564,761.8710940000001,-1067.6759029999998,11.442174000000001,10.285476,100.27775600000001,5.811751
45,1,10.925097000000001,9.702765,10.889669999999999,9.188383,6876.706055,23465.779297,20563.972656,-233.831558,339.222015,828.892273,19.681735999999997,10.341666,83.97758499999999,9.431439
63865,1,12.264796,10.206934,12.174301,11.517632,23486.453125,15643.144531,3282.9892579999996,99.568977,-145.883926,-105.746696,26.864632,10.855052,459.273376,1.028347
63866,1,12.039026,9.626183000000001,11.92511,11.393847000000001,23856.294922,14952.481445,2655.589844,31.633215000000003,-18.928288000000002,-32.736156,20.425767999999998,10.770187,413.165833,1.045133
63867,1,11.924012,10.607455999999999,11.850628,10.953272,23614.328125,14731.089844,3039.529541,124.51723500000001,418.272736,906.900818,23.758923,10.408603999999999,280.869965,0.983614
63868,1,11.730267,10.353069999999999,11.640528999999999,10.889841,23875.734375,15162.935547,3072.141602,96.098129,-1022.682434,-470.38027999999997,15.982689,10.237584,250.915909,0.8313010000000001
63869,1,11.780737,10.436208,11.724967999999999,10.656327000000001,24192.878906,14906.217772999998,2984.8017579999996,-612.7525019999999,373.684967,-209.34393300000002,28.310984,10.056075,205.205399,0.818329
